FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
24,31,07000000000002316008607,23,16,86,7.0,70000000.0,0,51.055965917,156.116177387,,0,B2423070000000,205,542.887807536,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,0.114329841647
25,32,07000000099999616008607,999996,16,86,7.0,70000000.0,0,87.6692709878,434.432463062,,0,B25999996070000000,205,542.887807536,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,18.2692669417
26,33,07000000099999516008607,999995,16,86,7.0,70000000.0,0,84.3904343766,371.315624238,,0,B26999995070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,336.90759683
27,34,07000000000002416008607,24,16,86,7.0,70000000.0,0,51.6377690139,146.021328835,,0,B2724070000000,205,542.887807536,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,7.43103214018
28,35,07000000099999416008607,999994,16,86,7.0,70000000.0,0,75.5689269051,252.987392942,,0,B28999994070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,230.757302946
29,36,07000000000002716008607,27,16,86,7.0,70000000.0,0,154.006903806,1280.01805661,,0,B2927070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,38.4739272941
30,37,07000000099999316008607,225,16,86,7.0,70000000.0,0,102.337839375,269.107187547,,0,B30225070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,53.9567195573
31,38,07000000000001516008607,3166,16,86,7.0,70000000.0,0,74.8021860021,335.563394392,,0,B313166070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,278.264106236
32,39,07000000000002916008607,139,16,86,7.0,70000000.0,0,139.024995162,1088.96758515,,0,B32139070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,275.334273842
3,6,07000000000000316008607,3,16,86,7.0,70000000.0,0,141.147220774,902.229881579,,0,B33070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,582.418509813
