FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1972,8288.84101664,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,8288.84101666
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1973,1396.7900631,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1396.79006311
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1974,796.923668781,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,796.923668775
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1975,1358.11662109,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1358.11662112
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1976,719.543528859,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,719.543528849
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1977,1382.40637152,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1382.40637155
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1978,906.8757873,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,906.8757873
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1979,1185.98747557,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1185.98747557
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1980,676.895424028,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,676.895424043
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1981,196.464736969,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,196.464736966
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1982,7156.01401818,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,7156.01401818
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1983,5522.14676555,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,5522.14676556
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1984,10534.5597561,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,10534.559756
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1985,17370.6895008,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,17370.6895008
